guest,hotel,priority
guest_1,hotel_168,1
guest_1,hotel_207,2
guest_1,hotel_222,3
guest_1,hotel_124,4
guest_1,hotel_223,5
guest_1,hotel_297,6
guest_1,hotel_129,7
guest_1,hotel_12,8
guest_1,hotel_1,9
guest_1,hotel_46,10
guest_1,hotel_343,11
guest_1,hotel_338,12
guest_1,hotel_90,13
guest_1,hotel_269,14
guest_1,hotel_237,15
guest_1,hotel_22,16
guest_1,hotel_97,17
guest_10,hotel_60,1
guest_10,hotel_317,2
guest_10,hotel_95,3
guest_10,hotel_22,4
guest_10,hotel_319,5
guest_10,hotel_279,6
guest_10,hotel_275,7
guest_10,hotel_185,8
guest_10,hotel_370,9
guest_10,hotel_292,10
guest_10,hotel_294,11
guest_10,hotel_391,12
guest_10,hotel_350,13
guest_10,hotel_260,14
guest_10,hotel_265,15
guest_10,hotel_344,16
guest_10,hotel_343,17
guest_10,hotel_316,18
guest_10,hotel_123,19
guest_10,hotel_262,20
guest_10,hotel_58,21
guest_10,hotel_241,22
guest_10,hotel_68,23
guest_10,hotel_233,24
guest_10,hotel_332,25
guest_100,hotel_73,1
guest_100,hotel_154,2
guest_100,hotel_45,3
guest_100,hotel_377,4
guest_100,hotel_141,5
guest_100,hotel_75,6
guest_100,hotel_300,7
guest_100,hotel_44,8
guest_100,hotel_215,9
guest_100,hotel_20,10
guest_100,hotel_112,11
guest_100,hotel_120,12
guest_100,hotel_61,13
guest_100,hotel_131,14
guest_100,hotel_147,15
guest_100,hotel_313,16
guest_100,hotel_87,17
guest_100,hotel_381,18
guest_100,hotel_100,19
guest_100,hotel_59,20
guest_100,hotel_342,21
guest_100,hotel_266,22
guest_100,hotel_378,23
guest_100,hotel_369,24
guest_100,hotel_92,25
guest_100,hotel_264,26
guest_100,hotel_365,27
guest_100,hotel_279,28
guest_100,hotel_93,29
guest_100,hotel_344,30
guest_100,hotel_22,31
guest_1000,hotel_396,1
guest_1000,hotel_7,2
guest_1000,hotel_391,3
guest_1000,hotel_351,4
guest_1000,hotel_102,5
guest_1000,hotel_147,6
guest_1000,hotel_184,7
guest_1000,hotel_224,8
guest_1000,hotel_46,9
guest_1000,hotel_106,10
guest_1000,hotel_261,11
guest_1000,hotel_115,12
guest_1000,hotel_77,13
guest_1000,hotel_151,14
guest_1000,hotel_192,15
guest_1000,hotel_302,16
guest_1000,hotel_124,17
guest_1000,hotel_269,18
guest_1000,hotel_152,19
guest_1000,hotel_129,20
guest_1000,hotel_5,21
guest_1000,hotel_142,22
guest_1000,hotel_196,23
guest_1000,hotel_12,24
guest_1000,hotel_121,25
guest_1000,hotel_27,26
guest_1000,hotel_66,27
guest_1000,hotel_256,28
guest_1000,hotel_20,29
guest_1000,hotel_174,30
guest_1000,hotel_87,31
guest_1000,hotel_240,32
guest_1000,hotel_137,33
guest_1000,hotel_399,34
guest_1000,hotel_381,35
guest_1000,hotel_32,36
guest_1000,hotel_68,37
guest_1000,hotel_333,38
guest_1000,hotel_155,39
guest_1000,hotel_306,40
guest_1000,hotel_103,41
guest_1000,hotel_232,42
guest_1000,hotel_207,43
guest_1000,hotel_55,44
guest_1000,hotel_143,45
guest_1001,hotel_109,1
guest_1001,hotel_52,2
guest_1001,hotel_33,3
guest_1001,hotel_204,4
guest_1001,hotel_249,5
guest_1001,hotel_198,6
guest_1001,hotel_208,7
guest_1001,hotel_306,8
guest_1001,hotel_18,9
guest_1001,hotel_97,10
guest_1001,hotel_304,11
guest_1001,hotel_135,12
guest_1001,hotel_211,13
guest_1001,hotel_390,14
guest_1001,hotel_83,15
guest_1001,hotel_260,16
